,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
5,BEGUSARAI,,0,0.1,-100%,NR,0,18.2,-100%,NR
6,BHABUA,,0,0.1,-100%,NR,0,26.8,-100%,NR
7,BHAGALPUR,,0,0.2,-100%,NR,0,22.3,-100%,NR
8,BHOJPUR,,0,0.2,-100%,NR,0,19.4,-100%,NR
,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
9,BUXAR,,0,0,-100%,NR,0,16.9,-100%,NR
10,DARBHANGA,,0,0.1,-100%,NR,0,15,-100%,NR
11,EAST CHAMPARAN,,0,0.3,-100%,NR,0,20.8,-100%,NR
12,GAYA,,0,0.4,-100%,NR,0,21.2,-100%,NR
13,GOPALGANJ,,0,0.2,-100%,NR,0,18.2,-100%,NR
14,JAHANABAD,,0,0.9,-100%,NR,0,14.9,-100%,NR
15,JAMUI,,0,0.6,-100%,NR,0,15.9,-100%,NR
16,KATIHAR,,0,0.1,-100%,NR,0,13.9,-100%,NR
17,KHAGARIA,,0,0.1,-100%,NR,0,13.2,-100%,NR
18,KISHANGANJ,,0,0,-100%,NR,0,11.7,-100%,NR
19,LAKHISARAI,,0,0.4,-100%,NR,0,10.1,-100%,NR
20,MADHEPURA,,0,0.1,-100%,NR,0,15.1,-100%,NR
21,MADHUBANI,,0,0.1,-100%,NR,0,12.7,-100%,NR
22,MONGHYR,,0,0,-100%,NR,0,15.6,-100%,NR
23,MUZAFFARPUR,,0,0.1,-100%,NR,0,19.4,-100%,NR
24,NALANDA,,0,0.2,-100%,NR,0,17.2,-100%,NR
25,NAWADA,,0,0.2,-100%,NR,0,18.1,-100%,NR
26,PATNA,,0,0.4,-100%,NR,0,20.6,-100%,NR
27,PURNEA,,0,0,-100%,NR,0,13.8,-100%,NR
28,ROHTAS,,0,0.4,-100%,NR,0,24.2,-100%,NR
29,SAHARSA,,0,0,-100%,NR,0,15.3,-100%,NR
30,SAMASTIPUR,,0,0.4,-100%,NR,0,17.4,-100%,NR
31,SARAN,,0,0.1,-100%,NR,0,20.6,-100%,NR
32,SHEIKHPURA,,0,0.1,-100%,NR,0,14.1,-100%,NR
33,SHEOHAR,,0,0,-100%,NR,0,16.7,-100%,NR
34,SITAMARHI,,0,0.1,-100%,NR,0,13.9,-100%,NR
35,SIWAN,,0,0.1,-100%,NR,0,17.6,-100%,NR
36,SUPAUL,,0,0.1,-100%,NR,0,14.1,-100%,NR
37,VAISHALI,,0,0.2,-100%,NR,0,12.3,-100%,NR
38,WEST CHAMPARAN,,0,0.3,-100%,NR,0.4,22.3,-98%,LD
,UTTAR PRADESH,,0,0.2,-100%,NR,11.3,25.1,-55%,D
10,EAST UTTAR PRADESH,,0,0.2,-100%,NR,5.4,23.5,-77%,LD
1,AMBEDKAR NAGAR,,0,0.1,-100%,NR,0,22.6,-100%,NR
2,AMETHI,,0,0.1,-100%,NR,1.6,16.8,-90%,LD
3,AYODHYA,,0,0.4,-100%,NR,9.3,25.4,-63%,LD
4,AZAMGARH,,0,0.1,-100%,NR,0,18.1,-100%,NR
5,BAHRAICH,,0,0.3,-100%,NR,10.2,31.8,-68%,LD
6,BALLIA,,0,0.2,-100%,NR,3.7,17.2,-79%,LD
7,BALRAMPUR,,0,0.2,-100%,NR,1.8,28.4,-94%,LD
8,BANDA,,0,0.2,-100%,NR,6.7,21.4,-69%,LD
9,BARABANKI,,0,0.1,-100%,NR,20.5,27,-24%,D
10,BASTI,,0,0.2,-100%,NR,5.6,21.2,-74%,LD
11,BHADOHI,,0,0.3,-100%,NR,0,25.1,-100%,NR
12,CHANDAULI,,0,0,-100%,NR,0,22.4,-100%,NR
13,CHITRAKOOT,,0,1.1,-100%,NR,1.8,20.6,-92%,LD
14,DEORIA,,0,0.3,-100%,NR,0,16.4,-100%,NR
15,FARRUKHABAD,,0,0.1,-100%,NR,9,23.8,-62%,LD
16,FATEHPUR,,0,0,-100%,NR,1.7,22.8,-93%,LD
17,GHAZIPUR,,0,0.1,-100%,NR,0,19.4,-100%,NR
18,GONDA,,0,0.3,-100%,NR,13,19,-31%,D
19,GORAKHPUR,,0,0.3,-100%,NR,0.8,28.2,-97%,LD
20,HARDOI,,0,0.1,-100%,NR,16.9,24.2,-30%,D
